99,Top Executive
100,Advertising / Marketing
101,Operations Manager
102,Other Management 
103,Business Operations 
104,Financial 
105,IT
106,Software Development
107,Architect
108,Engineers
109,Civil Engineer
110,Life Scientist
111,Physical Scientist
112,Social Scientist
113,Occupational Health and Safety
114,Counselor / Social Worker
115,Religious Worker
116,Lawyer
117,Legal Support Worker
118,Teacher
119,Instructor
120,Librarian
121,Art and Design Worker
122,Entertainers / Performer
123,Media and Communication
124,Media and Communication Equipment
125,Healthcare Practitioner
126,Health Technologist
127,Other Healthcare Occupation
128,Nursing
129,Physical Therapist
130,Firefighting and Prevention
131,Law Enforcement 
132,Other Protective Service Worker
133,Cook
134,Building Manager
135,Grounds Maintenance
136,Animal Care and Service Worker
137,Funeral Service Worker
138,Personal Appearance Worker
139,Tour and Travel Guide
140,Personal Care and Service Worker
141,Supervisors of Sales Workers
142,Retail Sales Worker
143,Sales Representative
144,Communications Equipment Operator
145,Financial Clerk
146,Information and Record Clerk
147,Secretary or Administrative Assistant
148,Other Office Support Worker
149,Agricultural Worker
150,Fishing and Hunting Worker
151,Construction
152,Extraction Worker
153,Electrician
154,Auto Mechanic
155,Production Manager
156,Assembler / Fabricator
157,Food Processing Worker
158,Metal / Plastic  Worker
159,Printing
160,Textiles
161,Woodworkers
162,Plant and System Operator
163,Production
164,Air Transportation Worker
165,Motor Vehicle Operator
166,Rail Transportation Worker
167,Water Transportation Worker
168,Other Transportation Worker
169,Material Moving Worker
